date: 2023-02-04T18:56:14.504164500, method: list
date: 2023-02-04T18:57:09.306567300, method: list
date: 2023-02-04T18:58:45.734524300, method: showHelp
date: 2023-02-04T18:58:48.555020200, method: create
date: 2023-02-04T18:59:07.499477300, method: list
date: 2023-02-04T18:59:27.275050500, method: showHelp
date: 2023-02-04T18:59:33.455122900, method: update
date: 2023-02-04T18:59:48.792236700, method: list
date: 2023-02-04T19:08:03.343704600, method: showHelp
date: 2023-02-04T19:08:05.756295700, method: list
date: 2023-02-04T19:08:08.576549600, method: list
